"accuracy","anzahl_gruppen","avg_rt","blauetaste","block","code","correct","correct_colour","correct_response","correct1","correct2","correct3","count_bildstimulus_3_1","count_block","cutoff","datetime","difficulty","difficulty_f","erstebedingung","experiment_file","filename","height","id_geburtsort","id_jahr","id_vater","linketaste","logfile","loose1","loose2","loose3","orangenetaste","punkte1","punkteimblock","response","response_tasteresponse_3_1","response_time","response_time_tasteresponse_3_1","subject_nr","time_bildershuffle","time_bildstimulus_3_1","time_block","time_block_tut","time_blockwerte_zuruecksetzten","time_cutoff_werte_und_punkte_3_1","time_definecorrectcolour_3_1","time_eingabemaske_kuerzel_python","time_ende_experimentierungsphase","time_ende_tutorial_1","time_experiment","time_feedback_serie","time_feedback_tutorial","time_fixationcross_3_1","time_grauesbild_3_1","time_gruppe_block","time_gruppe_tutorial","time_instruktionen_block","time_instruktionen_tutorial_1","time_introduction_1","time_introduction_2_1","time_introduction_3_punkte","time_introduction_3_speed","time_introduction_4_accuracy","time_introduction_5_feedback","time_leertaste_fuer_naechsten_bildschirm","time_logger_3_1","time_loop_block","time_loop_block_tut","time_minifeedbacknegativ_acc","time_minifeedbacknegativ_speed_slow","time_minifeedbacknegativ_speed_slowandwrong","time_minifeedbacknegativ_speed_wrong","time_minifeedbackpositiv_acc","time_minifeedbackpositiv_speed","time_new_inline_script","time_pause_zwischen_serie_1","time_pause_zwischen_serie_2","time_reset_feedback","time_reset_feedback_1","time_sequenz_block","time_sequenz_block_tut","time_sequenz_block_tut_1","time_sequenz_gruppe","time_sequenz_gruppe_tut","time_sequenz_serie","time_serie","time_set_to_zero","time_start","time_tasteresponse_3_1","time_testloopprepareglitchtutorial","time_trial_3_1","time_tutorial","time_tutorial_ende","time_tutorial_wiederholungscheck","time_vorgeplaenkel","time_warnhinweis_3sek","time_warnhinweis_5sek","time_warnung_tutorial_1","total_correct","total_response_time","total_responses","tutorial","tutorialpunkte"
88.8888888888889,96,105234.176211111,"a","accuracy","ka2000mo","0","o","l","0","0","0",0,1,700,"Tue Mar 21 14:10:22 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_o_11.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",1,0,0,"l",-10,-10,"a","a",939.163200033363,939.163200033363,4,249593.788300001,250445.675000024,NA,231961.394999991,NA,251385.770699999,250137.334800034,44714.6571000339,NA,NA,12681.1599000357,NA,NA,250144.764300028,NA,NA,249594.786100031,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,251385.843500029,NA,249593.809800048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,249594.744100003,NA,NA,NA,12681.3220000477,250445.832700003,12681.3725000247,250137.1239,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,8,947107.585899998,9,1,0
80,96,94835.3581600008,"a","accuracy","ka2000mo","0","o","l","0","0","0",1,1,700,"Tue Mar 21 14:10:22 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_o_6.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",1,0,0,"l",-20,-20,"a","a",1245.9957000101,1245.9957000101,4,249593.788300001,252570.980600023,NA,231961.394999991,NA,253817.684700014,252262.962700042,44714.6571000339,NA,NA,12681.1599000357,NA,NA,252269.902800035,251713.923800038,NA,249594.786100031,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,253817.757200042,NA,249593.809800048,251413.467900013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,249594.744100003,NA,NA,251708.532800025,12681.3220000477,252571.065100026,12681.3725000247,252262.797800009,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,8,948353.581600008,10,1,0
81.8181818181818,96,86379.0578000004,"a","accuracy","ka2000mo","1","b","a","1","0","0",2,1,700,"Tue Mar 21 14:10:22 2023",2,"eher schwer","accuracy","Experiment.osexp","Bild_s2_b_16.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",-15,-15,"a","a",1816.05419999687,1816.05419999687,4,249593.788300001,255024.899700016,NA,231961.394999991,NA,256841.625100002,254716.504000011,44714.6571000339,NA,NA,12681.1599000357,NA,NA,254723.309400026,254144.178400049,NA,254213.380500034,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,256841.696200019,NA,249593.809800048,253843.919200008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,254213.31120003,NA,NA,254138.912499999,12681.3220000477,255024.985000025,12681.3725000247,254716.426500003,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,9,950169.635800004,11,1,0
83.3333333333333,96,79241.1700083321,"a","accuracy","ka2000mo","1","o","l","1","0","0",3,1,700,"Tue Mar 21 14:10:22 2023",2,"eher schwer","accuracy","Experiment.osexp","Bild_s2_o_23.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",-10,-10,"l","l",724.404299980961,724.404299980961,4,249593.788300001,258006.591600017,NA,231961.394999991,NA,258731.783499999,257697.850500001,44714.6571000339,NA,NA,12681.1599000357,NA,NA,257705.1584,257170.627600048,NA,254213.380500034,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,258731.856400031,NA,249593.809800048,253843.919200008,NA,NA,NA,256870.162300009,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,254213.31120003,NA,NA,257165.312300029,12681.3220000477,258006.675500015,12681.3725000247,257697.772700049,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,10,950894.040099985,12,1,0
84.6153846153846,96,73235.8565692288,"a","accuracy","ka2000mo","1","o","l","1","0","0",4,1,700,"Tue Mar 21 14:10:22 2023",1,"eher leicht","accuracy","Experiment.osexp","Bild_s3_o_9.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",-5,-5,"l","l",1172.09529998945,1172.09529998945,4,249593.788300001,259940.859900031,NA,231961.394999991,NA,261113.524500048,259632.372200023,44714.6571000339,NA,NA,12681.1599000357,NA,NA,259639.691200049,259056.614300003,NA,259134.834300028,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,261113.599400036,NA,249593.809800048,253843.919200008,NA,NA,NA,258755.687900004,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,259134.756700019,NA,NA,259051.239599998,12681.3220000477,259940.949200012,12681.3725000247,259632.293700008,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,11,952066.135399975,13,1,0
85.7142857142857,96,68062.3730714267,"a","accuracy","ka2000mo","1","b","a","1","0","0",5,1,700,"Tue Mar 21 14:10:22 2023",1,"eher leicht","accuracy","Experiment.osexp","Bild_s3_b_10.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",0,0,"a","a",807.08759999834,807.08759999834,4,249593.788300001,262273.869100027,NA,231961.394999991,NA,263081.770299992,261966.132300033,44714.6571000339,NA,NA,12681.1599000357,NA,NA,261973.406900011,261434.120000049,NA,259134.834300028,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,263081.844400032,NA,249593.809800048,253843.919200008,NA,NA,NA,261133.554,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,259134.756700019,NA,NA,261428.760600043,12681.3220000477,262273.951500014,12681.3725000247,261966.048400034,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,12,952873.222999973,14,1,0
86.6666666666667,96,63589.7917399998,"a","accuracy","ka2000mo","1","b","a","1","0","0",6,1,700,"Tue Mar 21 14:10:22 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_b_13.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",5,5,"a","a",973.653100023512,973.653100023512,4,249593.788300001,264299.219600041,NA,231961.394999991,NA,265273.601400026,263990.617600037,44714.6571000339,NA,NA,12681.1599000357,NA,NA,263997.674700047,263408.089200035,NA,263482.830599998,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,265273.673499993,NA,249593.809800048,253843.919200008,NA,NA,NA,263107.661599992,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,263482.768100046,NA,NA,263402.67640003,12681.3220000477,264299.377600022,12681.3725000247,263990.536700003,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,13,953846.876099997,15,1,0
87.5,96,59671.8927437505,"a","accuracy","ka2000mo","1","b","a","1","0","0",7,1,700,"Tue Mar 21 14:10:22 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_b_20.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",10,10,"a","a",903.407800011337,903.407800011337,4,249593.788300001,266449.461800046,NA,231961.394999991,NA,267353.623200033,266141.164300032,44714.6571000339,NA,NA,12681.1599000357,NA,NA,266148.394900025,265602.999800001,NA,263482.830599998,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,267353.697500017,NA,249593.809800048,253843.919200008,NA,NA,NA,265302.438300045,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,263482.768100046,NA,NA,265597.664000001,12681.3220000477,266449.628700037,12681.3725000247,266141.084600007,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,14,954750.283900008,16,1,0
88.2352941176471,96,56195.1100588228,"a","accuracy","ka2000mo","1","o","l","1","0","0",8,1,700,"Tue Mar 21 14:10:22 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_o_19.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",15,15,"l","l",566.587099980097,566.587099980097,4,249593.788300001,268562.270599999,NA,231961.394999991,NA,269129.657000012,268254.568000033,44714.6571000339,NA,NA,12681.1599000357,NA,NA,268261.728600017,267683.784199995,NA,267755.629700026,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,269129.733000009,NA,249593.809800048,253843.919200008,NA,NA,NA,267383.178299991,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,267755.559700017,NA,NA,267678.379699995,12681.3220000477,268562.444800045,12681.3725000247,268254.486999998,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,15,955316.870999988,17,1,0
88.8888888888889,96,53108.5237611098,"a","accuracy","ka2000mo","1","b","a","1","0","0",9,1,700,"Tue Mar 21 14:10:22 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_b_25.png",1080,"mo",2000,"ka","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-4.csv",0,0,0,"l",20,20,"a","a",636.556699988432,636.556699988432,4,249593.788300001,270300.382300047,NA,231961.394999991,NA,270937.623900012,269991.6447,44714.6571000339,NA,NA,12681.1599000357,NA,NA,269998.974499991,269461.089000048,NA,267755.629700026,NA,232054.856700008,13422.6291000377,63882.762800029,91678.7353000254,129762.063100003,171312.974500004,173677.740400017,232054.964500014,270937.695300032,NA,249593.809800048,253843.919200008,NA,NA,NA,269160.500099999,NA,NA,NA,NA,NA,NA,NA,231961.212299997,232047.834200028,NA,267755.559700017,NA,NA,269455.749700021,12681.3220000477,270300.463000021,12681.3725000247,269991.562700015,231960.328800022,NA,NA,13404.8489000415,NA,NA,179693.458200025,16,955953.427699977,18,1,0
