"","rt","rt_in_ms","correct","speed_condition","difficulty","code","tutorial","subject_nr"
"1",4.99503910006024,4995.03910006024,"0",0,3,"li1999no",1,1
"2",1.54444610001519,1544.44610001519,"0",0,3,"li1999no",1,1
"3",1.46857359993737,1468.57359993737,"1",0,2,"li1999no",1,1
"4",0.854182999930345,854.182999930345,"1",0,2,"li1999no",1,1
"5",0.871293100062758,871.293100062758,"1",0,1,"li1999no",1,1
"6",1.32924480002839,1329.24480002839,"1",0,1,"li1999no",1,1
"7",0.676309400005266,676.309400005266,"1",0,0,"li1999no",1,1
"8",0.74288609996438,742.88609996438,"1",0,0,"li1999no",1,1
"9",0.599632099969313,599.632099969313,"1",0,0,"li1999no",1,1
"10",0.624117799918167,624.117799918167,"1",0,0,"li1999no",1,1
"11",0.440278200083412,440.278200083412,"1",0,1,"li1999no",1,1
"12",0.515190599951893,515.190599951893,"1",0,1,"li1999no",1,1
"13",0.94721610005945,947.21610005945,"0",0,2,"li1999no",1,1
"14",1.36440249998122,1364.40249998122,"1",0,2,"li1999no",1,1
"15",1.12538470001891,1125.38470001891,"1",0,3,"li1999no",1,1
"16",1.14160549989901,1141.60549989901,"0",0,3,"li1999no",1,1
"17",0.899040500051342,899.040500051342,"1",1,3,"li1999no",1,1
"18",0.37560599995777,375.60599995777,"0",1,3,"li1999no",1,1
"19",0.770972999976948,770.972999976948,"0",1,2,"li1999no",1,1
"20",0.800466099986807,800.466099986807,"1",1,2,"li1999no",1,1
"21",0.474320800043643,474.320800043643,"1",1,1,"li1999no",1,1
"22",0.654226899961941,654.226899961941,"1",1,1,"li1999no",1,1
"23",0.520825600018725,520.825600018725,"1",1,0,"li1999no",1,1
"24",0.504717499949038,504.717499949038,"1",1,0,"li1999no",1,1
"25",0.48727569996845,487.27569996845,"1",1,0,"li1999no",1,1
"26",0.556238800054416,556.238800054416,"1",1,0,"li1999no",1,1
"27",0.406977800070308,406.977800070308,"1",1,1,"li1999no",1,1
"28",0.571038599940948,571.038599940948,"1",1,1,"li1999no",1,1
"29",0.634808199945837,634.808199945837,"1",1,2,"li1999no",1,1
"30",0.637240999960341,637.240999960341,"1",1,2,"li1999no",1,1
"31",0.429970200057141,429.970200057141,"1",1,3,"li1999no",1,1
"32",0.557826699921861,557.826699921861,"0",1,3,"li1999no",1,1
"33",0.801806199946441,801.806199946441,"0",1,1,"li1999no",0,1
"34",0.639256999944337,639.256999944337,"1",1,1,"li1999no",0,1
"35",0.373819899978116,373.819899978116,"0",1,1,"li1999no",0,1
"36",0.517184600001201,517.184600001201,"0",1,1,"li1999no",0,1
"37",0.834338600048795,834.338600048795,"1",1,1,"li1999no",0,1
"38",0.757304699975066,757.304699975066,"1",1,1,"li1999no",0,1
"39",0.386288700043224,386.288700043224,"0",1,1,"li1999no",0,1
"40",0.560223400010727,560.223400010727,"1",1,1,"li1999no",0,1
"41",0.580504999961704,580.504999961704,"0",1,2,"li1999no",0,1
"42",0.823402100009844,823.402100009844,"1",1,2,"li1999no",0,1
"43",0.716262599918991,716.262599918991,"1",1,2,"li1999no",0,1
"44",0.3772636000067,377.2636000067,"1",1,2,"li1999no",0,1
"45",0.503065700060688,503.065700060688,"1",1,2,"li1999no",0,1
"46",0.627133800066076,627.133800066076,"1",1,2,"li1999no",0,1
"47",0.622927499935031,622.927499935031,"1",1,2,"li1999no",0,1
"48",0.53728809999302,537.28809999302,"1",1,2,"li1999no",0,1
"49",0.544057600083761,544.057600083761,"0",1,3,"li1999no",0,1
"50",0.529211199958809,529.211199958809,"0",1,3,"li1999no",0,1
"51",0.622449300019071,622.449300019071,"1",1,3,"li1999no",0,1
"52",0.597035799990408,597.035799990408,"1",1,3,"li1999no",0,1
"53",0.569928100099787,569.928100099787,"0",1,3,"li1999no",0,1
"54",0.704640300013125,704.640300013125,"0",1,3,"li1999no",0,1
"55",0.612981599988416,612.981599988416,"0",1,3,"li1999no",0,1
"56",0.911481000017375,911.481000017375,"0",1,3,"li1999no",0,1
"57",0.776884599938057,776.884599938057,"1",1,3,"li1999no",0,1
"58",0.495796900009736,495.796900009736,"1",1,3,"li1999no",0,1
"59",0.527399800019339,527.399800019339,"1",1,3,"li1999no",0,1
"60",0.472194299916737,472.194299916737,"1",1,3,"li1999no",0,1
"61",0.569591599982232,569.591599982232,"0",1,3,"li1999no",0,1
"62",0.71649740007706,716.49740007706,"0",1,3,"li1999no",0,1
"63",0.417699999990873,417.699999990873,"0",1,3,"li1999no",0,1
"64",0.579422699986026,579.422699986026,"1",1,3,"li1999no",0,1
"65",0.610080700018443,610.080700018443,"1",1,2,"li1999no",0,1
"66",0.781788100022823,781.788100022823,"0",1,2,"li1999no",0,1
"67",0.55696529999841,556.96529999841,"0",1,2,"li1999no",0,1
"68",0.61632070003543,616.32070003543,"1",1,2,"li1999no",0,1
"69",0.550991300027817,550.991300027817,"1",1,2,"li1999no",0,1
"70",0.467793300049379,467.793300049379,"0",1,2,"li1999no",0,1
"71",0.676403600024059,676.403600024059,"1",1,2,"li1999no",0,1
"72",0.749849600018933,749.849600018933,"1",1,2,"li1999no",0,1
"73",0.545743099995889,545.743099995889,"0",1,3,"li1999no",0,1
"74",0.492527500027791,492.527500027791,"1",1,3,"li1999no",0,1
"75",0.635385600035079,635.385600035079,"0",1,3,"li1999no",0,1
"76",0.683853799942881,683.853799942881,"1",1,3,"li1999no",0,1
"77",0.716303299996071,716.303299996071,"1",1,3,"li1999no",0,1
"78",0.815665400004946,815.665400004946,"0",1,3,"li1999no",0,1
"79",0.551320299971849,551.320299971849,"1",1,3,"li1999no",0,1
"80",0.725104100070894,725.104100070894,"0",1,3,"li1999no",0,1
