"accuracy","anzahl_gruppen","avg_rt","blauetaste","block","code","correct","correct_colour","correct_response","correct1","correct2","correct3","count_bildstimulus_3_1","count_block","cutoff","datetime","difficulty","difficulty_f","erstebedingung","experiment_file","filename","height","id_geburtsort","id_jahr","id_vater","linketaste","logfile","loose1","loose2","loose3","orangenetaste","punkte1","punkteimblock","response","response_tasteresponse_3_1","response_time","response_time_tasteresponse_3_1","subject_nr","time_bildershuffle","time_bildstimulus_3_1","time_block","time_block_tut","time_blockwerte_zuruecksetzten","time_cutoff_werte_und_punkte_3_1","time_definecorrectcolour_3_1","time_eingabemaske_kuerzel_python","time_ende_tutorial_1","time_ende_experimentierungsphase","time_experiment","time_feedback_serie","time_feedback_tutorial","time_fixationcross_3_1","time_grauesbild_3_1","time_gruppe_block","time_gruppe_tutorial","time_instruktionen_block","time_instruktionen_tutorial_1","time_introduction_1","time_introduction_2_1","time_introduction_3_punkte","time_introduction_3_speed","time_introduction_4_accuracy","time_introduction_5_feedback","time_leertaste_fuer_naechsten_bildschirm","time_logger_3_1","time_loop_block","time_loop_block_tut","time_minifeedbacknegativ_acc","time_minifeedbacknegativ_speed_slow","time_minifeedbacknegativ_speed_slowandwrong","time_minifeedbacknegativ_speed_wrong","time_minifeedbackpositiv_acc","time_minifeedbackpositiv_speed","time_new_inline_script","time_pause_zwischen_serie_1","time_pause_zwischen_serie_2","time_reset_feedback","time_reset_feedback_1","time_sequenz_block","time_sequenz_block_tut","time_sequenz_block_tut_1","time_sequenz_gruppe","time_sequenz_gruppe_tut","time_sequenz_serie","time_serie","time_set_to_zero","time_start","time_tasteresponse_3_1","time_testloopprepareglitchtutorial","time_trial_3_1","time_tutorial","time_tutorial_ende","time_tutorial_wiederholungscheck","time_vorgeplaenkel","time_warnhinweis_3sek","time_warnhinweis_5sek","time_warnung_tutorial_1","total_correct","total_response_time","total_responses","tutorial","tutorialpunkte","geschlecht","alter","studiengang","bildungsabschluss","haendig1","haendig2","haendig3","haendig4","haendig_mean"
88.8888888888889,96,122646.163744386,"a","accuracy","mo1999tu","0","o","l","0","0","0",0,1,700,"Wed Apr 19 13:07:14 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_o_24.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",1,0,0,"l",-10,-10,"a","a",1114.84880000353,1114.84880000353,15,NA,296759.420000017,NA,280921.10699974,NA,297874.991099816,296451.746699866,51571.624299977,NA,NA,12218.194599729,NA,NA,296459.051999729,NA,NA,295924.044199754,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,297875.063299667,NA,295923.091199715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,295924.001999665,NA,NA,NA,12218.3071998879,296759.586599655,12218.330799602,296451.548799872,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,8,1103815.47369948,9,1,0,2,23,"Computer Science",6,1,1,1,1,1
80,96,110481.922449963,"a","accuracy","mo1999tu","0","o","l","0","0","0",1,1,700,"Wed Apr 19 13:07:14 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_o_15.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",1,0,0,"l",-20,-20,"a","a",1003.7508001551,1003.7508001551,15,NA,299046.604099683,NA,280921.10699974,NA,300051.049300004,298738.497099839,51571.624299977,NA,NA,12218.194599729,NA,NA,298745.443699881,298197.04579981,NA,295924.044199754,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,300051.120799966,NA,295923.091199715,297896.520499606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,295924.001999665,NA,NA,298191.545499954,12218.3071998879,299046.712599695,12218.330799602,298738.420099951,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,8,1104819.22449963,10,1,0,2,23,"Computer Science",6,1,1,1,1,1
81.8181818181818,96,100552.054954481,"a","accuracy","mo1999tu","1","b","a","1","0","0",2,1,700,"Wed Apr 19 13:07:14 2023",2,"eher schwer","accuracy","Experiment.osexp","Bild_s2_b_2.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",-15,-15,"a","a",1253.37999965996,1253.37999965996,15,NA,301260.957799852,NA,280921.10699974,NA,302515.075800009,300952.350499574,51571.624299977,NA,NA,12218.194599729,NA,NA,300959.287500009,300378.330799751,NA,300456.245499663,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,302515.146199614,NA,295923.091199715,300077.445099596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,300456.170099787,NA,NA,300372.884099837,12218.3071998879,301261.090199929,12218.330799602,300952.270799782,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,9,1106072.60449929,11,1,0,2,23,"Computer Science",6,1,1,1,1,1
75,96,92259.7568666097,"a","accuracy","mo1999tu","0","b","a","0","0","0",3,1,700,"Wed Apr 19 13:07:14 2023",2,"eher schwer","accuracy","Experiment.osexp","Bild_s2_b_3.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",1,0,0,"l",-25,-25,"l","l",1044.4779000245,1044.4779000245,15,NA,303693.815599661,NA,280921.10699974,NA,304739.045099821,303385.399299674,51571.624299977,NA,NA,12218.194599729,NA,NA,303392.566099763,302843.703299761,NA,300456.245499663,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,304739.117200021,NA,295923.091199715,300077.445099596,NA,NA,NA,302543.160399888,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,300456.170099787,NA,NA,302838.384499773,12218.3071998879,303693.986499682,12218.330799602,303385.317399632,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,9,1107117.08239932,12,1,0,2,23,"Computer Science",6,1,1,1,1,1
76.9230769230769,96,85224.8079230507,"a","accuracy","mo1999tu","1","b","a","1","0","0",4,1,700,"Wed Apr 19 13:07:14 2023",1,"eher leicht","accuracy","Experiment.osexp","Bild_s3_b_14.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",-20,-20,"a","a",805.420600343496,805.420600343496,15,NA,305932.9657997,NA,280921.10699974,NA,306738.899399992,305624.323699623,51571.624299977,NA,NA,12218.194599729,NA,NA,305631.423299666,305049.893899821,NA,305122.857799754,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,306738.968999591,NA,295923.091199715,304749.44339972,NA,NA,NA,302543.160399888,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,305122.78399989,NA,NA,305044.4747,12218.3071998879,305933.050399646,12218.330799602,305624.243099708,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,10,1107922.50299966,13,1,0,2,23,"Computer Science",6,1,1,1,1,1
78.5714285714286,96,79194.1730499467,"a","accuracy","mo1999tu","1","o","l","1","0","0",5,1,700,"Wed Apr 19 13:07:14 2023",1,"eher leicht","accuracy","Experiment.osexp","Bild_s3_o_12.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",-15,-15,"l","l",795.919699594378,795.919699594378,15,NA,307910.360399634,NA,280921.10699974,NA,308706.934799906,307601.935299579,51571.624299977,NA,NA,12218.194599729,NA,NA,307608.998899814,307063.764399849,NA,305122.857799754,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,308707.004599739,NA,295923.091199715,304749.44339972,NA,NA,NA,306763.234399725,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,305122.78399989,NA,NA,307058.282999787,12218.3071998879,307910.535200033,12218.330799602,307601.852399763,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,11,1108718.42269925,14,1,0,2,23,"Computer Science",6,1,1,1,1,1
80,96,73959.4484466128,"a","accuracy","mo1999tu","1","o","l","1","0","0",6,1,700,"Wed Apr 19 13:07:14 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_o_7.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",-10,-10,"l","l",673.303999938071,673.303999938071,15,NA,309905.068799853,NA,280921.10699974,NA,310578.937899787,309597.554999869,51571.624299977,NA,NA,12218.194599729,NA,NA,309604.350299574,309023.752199952,NA,309094.659399707,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,310579.008099623,NA,295923.091199715,304749.44339972,NA,NA,NA,308723.342099693,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,309094.587899745,NA,NA,309018.334100023,12218.3071998879,309905.146799982,12218.330799602,309597.472899593,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,12,1109391.72669919,15,1,0,2,23,"Computer Science",6,1,1,1,1,1
81.25,96,69370.0031624467,"a","accuracy","mo1999tu","1","b","a","1","0","0",7,1,700,"Wed Apr 19 13:07:14 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_b_9.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",-5,-5,"a","a",528.323899954557,528.323899954557,15,NA,311745.956899598,NA,280921.10699974,NA,312275.049999822,311438.139399979,51571.624299977,NA,NA,12218.194599729,NA,NA,311445.151299704,310898.960900027,NA,309094.659399707,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,312275.1193,NA,295923.091199715,304749.44339972,NA,NA,NA,310598.323399667,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,309094.587899745,NA,NA,310893.603299744,12218.3071998879,311746.14599999,12218.330799602,311437.983899843,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,13,1109920.05059915,16,1,0,2,23,"Computer Science",6,1,1,1,1,1
82.3529411764706,96,65322.8609822964,"a","accuracy","mo1999tu","1","o","l","1","0","0",8,1,700,"Wed Apr 19 13:07:14 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_o_1.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",0,0,"l","l",568.586099892855,568.586099892855,15,NA,313465.741899796,NA,280921.10699974,NA,314035.01969995,313157.667299733,51571.624299977,NA,NA,12218.194599729,NA,NA,313164.569799788,312595.877199899,NA,312669.400699902,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,314035.089700017,NA,295923.091199715,304749.44339972,NA,NA,NA,312295.529699884,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,312669.329599943,NA,NA,312590.437899809,12218.3071998879,313465.846499894,12218.330799602,313157.589199953,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,14,1110488.63669904,17,1,0,2,23,"Computer Science",6,1,1,1,1,1
83.3333333333333,96,61735.860077716,"a","accuracy","mo1999tu","1","o","l","1","0","0",9,1,700,"Wed Apr 19 13:07:14 2023",0,"sehr leicht","accuracy","Experiment.osexp","Bild_s4_o_2.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",5,5,"l","l",756.844699848443,756.844699848443,15,NA,315213.5429997,NA,280921.10699974,NA,315971.104099881,314905.620399863,51571.624299977,NA,NA,12218.194599729,NA,NA,314912.494199816,314368.515699636,NA,312669.400699902,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,315971.173699945,NA,295923.091199715,304749.44339972,NA,NA,NA,314067.727799993,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,312669.329599943,NA,NA,314363.164299633,12218.3071998879,315213.627399877,12218.330799602,314905.538299587,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,15,1111245.48139889,18,1,0,2,23,"Computer Science",6,1,1,1,1,1
84.2105263157895,96,58521.8250315244,"a","accuracy","mo1999tu","1","b","a","1","0","0",10,1,700,"Wed Apr 19 13:07:14 2023",1,"eher leicht","accuracy","Experiment.osexp","Bild_s3_b_12.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",10,10,"a","a",669.194200076163,669.194200076163,15,NA,317173.179099802,NA,280921.10699974,NA,317843.044699635,316865.048599895,51571.624299977,NA,NA,12218.194599729,NA,NA,316871.952999849,316292.066799942,NA,316362.503699958,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,317843.113699928,NA,295923.091199715,304749.44339972,NA,NA,NA,315991.008599754,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,316362.43139999,NA,NA,316286.634000018,12218.3071998879,317173.264199868,12218.330799602,316864.969299641,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,16,1111914.67559896,19,1,0,2,23,"Computer Science",6,1,1,1,1,1
85,96,55637.6027849503,"a","accuracy","mo1999tu","1","b","a","1","0","0",11,1,700,"Wed Apr 19 13:07:14 2023",1,"eher leicht","accuracy","Experiment.osexp","Bild_s3_b_9.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",15,15,"a","a",837.380100041628,837.380100041628,15,NA,319021.009499673,NA,280921.10699974,NA,319859.050299972,318713.042799849,51571.624299977,NA,NA,12218.194599729,NA,NA,318720.330699813,318172.107399907,NA,316362.503699958,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,319859.121399932,NA,295923.091199715,304749.44339972,NA,NA,NA,317871.526199859,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,316362.43139999,NA,NA,318166.713099927,12218.3071998879,319021.087199915,12218.330799602,318712.949599605,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,17,1112752.05569901,20,1,0,2,23,"Computer Science",6,1,1,1,1,1
85.7142857142857,96,53027.7352427975,"a","accuracy","mo1999tu","1","o","l","1","0","0",12,1,700,"Wed Apr 19 13:07:14 2023",2,"eher schwer","accuracy","Experiment.osexp","Bild_s2_o_23.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",20,20,"l","l",830.384399741888,830.384399741888,15,NA,321075.992499944,NA,280921.10699974,NA,321907.05979988,320768.308299594,51571.624299977,NA,NA,12218.194599729,NA,NA,320775.379699655,320187.455799896,NA,320260.395599995,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,321907.127199695,NA,295923.091199715,304749.44339972,NA,NA,NA,319887.110499665,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,320260.323499795,NA,NA,320182.051299606,12218.3071998879,321076.067999937,12218.330799602,320768.216699827,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,18,1113582.44009875,21,1,0,2,23,"Computer Science",6,1,1,1,1,1
81.8181818181818,96,50643.2976999574,"a","accuracy","mo1999tu","0","b","a","0","0","0",13,1,700,"Wed Apr 19 13:07:14 2023",2,"eher schwer","accuracy","Experiment.osexp","Bild_s2_b_11.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",1,0,0,"l",10,10,"l","l",570.10930031538,570.10930031538,15,NA,323064.249899704,NA,280921.10699974,NA,323635.028499644,322756.226900034,51571.624299977,NA,NA,12218.194599729,NA,NA,322763.132699765,322227.791899815,NA,320260.395599995,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,323635.100599844,NA,295923.091199715,304749.44339972,NA,NA,NA,321926.43659981,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,320260.323499795,NA,NA,322222.385999747,12218.3071998879,323064.338099677,12218.330799602,322756.147499662,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,18,1114152.54939906,22,1,0,2,23,"Computer Science",6,1,1,1,1,1
78.2608695652174,96,48468.4754782154,"a","accuracy","mo1999tu","0","o","l","0","0","0",14,1,700,"Wed Apr 19 13:07:14 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_o_1.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",1,0,0,"l",0,0,"a","a",622.386599890888,622.386599890888,15,NA,324851.961500011,NA,280921.10699974,NA,325475.062599871,324544.216999784,51571.624299977,NA,NA,12218.194599729,NA,NA,324551.265199669,323962.202799972,NA,324036.857799627,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,325475.130999926,NA,295923.091199715,323661.037100013,NA,NA,NA,321926.43659981,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,324036.787099671,NA,NA,323956.728499848,12218.3071998879,324852.041699924,12218.330799602,324544.131799601,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,18,1114774.93599895,23,1,0,2,23,"Computer Science",6,1,1,1,1,1
75,96,46476.1066624584,"a","accuracy","mo1999tu","0","b","a","0","0","0",15,1,700,"Wed Apr 19 13:07:14 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_b_25.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",1,0,0,"l",-10,-10,"l","l",651.623900048435,651.623900048435,15,NA,326630.680999719,NA,280921.10699974,NA,327283.061199822,326322.796599939,51571.624299977,NA,NA,12218.194599729,NA,NA,326329.86399997,325793.170099612,NA,324036.857799627,NA,281019.061099738,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,281019.170999993,327283.129599877,NA,295923.091199715,325492.550199851,NA,NA,NA,321926.43659981,NA,NA,NA,NA,NA,NA,NA,280920.916599687,281011.900799815,NA,324036.787099671,NA,NA,325787.769099697,12218.3071998879,326630.816199817,12218.330799602,326322.717699688,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,18,1115426.559899,24,1,0,2,23,"Computer Science",6,1,1,1,1,1
100,96,2213.95240002312,"a","speed","mo1999tu","1","o","l","0","1","0",16,2,700,"Wed Apr 19 13:07:14 2023",3,"sehr schwer","accuracy","Experiment.osexp","Bild_s1_o_22.png",1080,"tu",1999,"mo","blaue","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-15.csv",0,0,0,"l",-5,5,"l","l",520.152399782091,520.152399782091,15,NA,337610.160899814,NA,280921.10699974,332755.027899984,338130.913299974,337302.258299664,51571.624299977,NA,NA,12218.194599729,NA,327759.59429983,337309.1976,327610.568400007,NA,336787.971099839,NA,332878.581499681,13007.4452999979,71249.5299000293,90907.1702999063,125518.795299809,158522.585799918,224871.788799763,332878.697999753,338130.987799726,NA,336787.009699736,327309.955799952,NA,NA,NA,321926.43659981,NA,NA,NA,NA,NA,NA,NA,280920.916599687,332871.38050003,NA,336787.928699981,NA,NA,327605.090099853,12218.3071998879,337610.288199969,12218.330799602,337302.067899611,280920.097199734,NA,NA,12991.5852998383,NA,NA,246758.938499726,2,4427.90480004624,2,1,-10,2,23,"Computer Science",6,1,1,1,1,1
